"Image Name", "Elapsed Time", "Object #", "Frame #", "X", "Y", "Distance", "Time Interval", "Velocity", "Absolute Angle", "Distance To Origin", "Delta X", "Delta Y"
"Med_NSS_2(1)", "00:00:00.000", 1, 1, 98.3264, 167.06, 0, 0, 0, 0, 193.848, 0, 0
"Med_NSS_2(1)", "00:00:00.146", 1, 2, 98.321, 167.061, 0.00550555, 50, 0.000110111, -77.6779, 193.847, -0.00537872, 0.00117493
"Med_NSS_2(1)", "00:00:00.146", 1, 3, 94.7693, 169.176, 4.13359, 50, 0.0826717, -59.232, 193.912, -3.55177, 2.11459
"Med_NSS_2(1)", "00:00:00.146", 1, 4, 94.686, 169.221, 0.0945808, 50, 0.00189162, -61.7275, 193.91, -0.0832977, 0.0447998
"Med_NSS_2(1)", "00:00:00.146", 1, 5, 92.126, 171.391, 3.35597, 50, 0.0671195, -49.7117, 194.582, -2.55994, 2.17009
"Med_NSS_2(1)", "00:00:00.147", 1, 6, 91.5761, 171.254, 0.566638, 50, 0.0113328, -103.924, 194.202, -0.549988, -0.136353
"Med_NSS_2(1)", "00:00:00.147", 1, 7, 91.5761, 171.254, 0, 50, 0, 0, 194.202, 0, 0
"Med_NSS_2(1)", "00:00:00.147", 1, 8, 92.1649, 171.509, 0.641603, 50, 0.0128321, 66.599, 194.704, 0.588829, 0.254822
"Med_NSS_2(1)", "00:00:00.147", 1, 9, 91.8337, 172.108, 0.68392, 50, 0.0136784, -28.9674, 195.076, -0.33123, 0.598358
"Med_NSS_2(1)", "00:00:00.147", 1, 10, 91.8337, 172.108, 0, 50, 0, 0, 195.076, 0, 0
"Med_NSS_2(1)", "00:00:00.148", 1, 11, 90.1301, 174.625, 3.0392, 50, 0.0607841, -34.0917, 196.513, -1.70353, 2.51689
"Med_NSS_2(1)", "00:00:00.148", 1, 12, 90.4171, 175.42, 0.845769, 50, 0.0169154, 19.835, 197.351, 0.28698, 0.795593
"Med_NSS_2(1)", "00:00:00.148", 1, 13, 94.8913, 175.226, 4.4784, 50, 0.0895679, 92.4833, 199.27, 4.47419, -0.194031
"Med_NSS_2(1)", "00:00:00.148", 1, 14, 97.384, 175.652, 2.52888, 50, 0.0505775, 80.2949, 200.842, 2.49268, 0.426315
"Med_NSS_2(1)", "00:00:00.148", 1, 15, 98.704, 176.616, 1.63427, 50, 0.0326855, 53.8743, 202.326, 1.32005, 0.963501
"Med_NSS_2(1)", "00:00:00.148", 1, 16, 105.08, 177.511, 6.43828, 50, 0.128766, 82.0054, 206.281, 6.3757, 0.895447
"Med_NSS_2(1)", "00:00:00.148", 1, 17, 107.22, 178.562, 2.3844, 50, 0.047688, 63.8538, 208.28, 2.14041, 1.05072
"Med_NSS_2(1)", "00:00:00.149", 1, 18, 113.066, 177.539, 5.9346, 50, 0.118692, 99.929, 210.485, 5.84571, -1.02328
"Med_NSS_2(1)", "00:00:00.149", 1, 19, 113.199, 178.205, 0.679605, 50, 0.0135921, 11.2946, 211.119, 0.133102, 0.666443
"Med_NSS_2(1)", "00:00:00.149", 1, 20, 112.74, 178.155, 0.461972, 50, 0.00923944, -96.2386, 210.83, -0.459236, -0.0502014
"Med_NSS_2(1)", "00:00:00.149", 1, 21, 112.735, 174.099, 4.056, 50, 0.08112, -179.94, 207.412, -0.0042572, -4.056
"Med_NSS_2(1)", "00:00:00.149", 1, 22, 112.654, 174.393, 0.305031, 50, 0.00610062, -15.419, 207.615, -0.0811005, 0.294052
"Med_NSS_2(1)", "00:00:00.150", 1, 23, 106.961, 170.683, 6.79597, 50, 0.135919, -123.09, 201.428, -5.69379, -3.71025
"Med_NSS_2(1)", "00:00:00.150", 1, 24, 104.823, 170.142, 2.20517, 50, 0.0441035, -104.196, 199.84, -2.13783, -0.540802
"Med_NSS_2(1)", "00:00:00.150", 1, 25, 104.919, 169.938, 0.225929, 50, 0.00451858, 154.679, 199.717, 0.0966263, -0.204224
"Med_NSS_2(1)", "00:00:00.150", 1, 26, 100.605, 166.189, 5.71573, 50, 0.114315, -130.99, 194.268, -4.31435, -3.74911
"Med_NSS_2(1)", "00:00:00.150", 1, 27, 99.6937, 165.244, 1.31291, 50, 0.0262581, -136.043, 192.988, -0.911308, -0.945114
"Med_NSS_2(1)", "00:00:00.150", 1, 28, 100.22, 165.017, 0.572898, 50, 0.011458, 113.35, 193.066, 0.525978, -0.227066
"Med_NSS_2(1)", "00:00:00.150", 1, 29, 95.1872, 159.864, 7.20216, 50, 0.144043, -135.674, 186.057, -5.03246, -5.15222
"Med_NSS_2(1)", "00:00:00.151", 1, 30, 93.6198, 159.165, 1.71655, 50, 0.0343309, -114.057, 184.656, -1.56744, -0.699753
"Med_NSS_2(1)", "00:00:00.151", 1, 31, 87.8797, 153.49, 8.07115, 50, 0.161423, -134.669, 176.868, -5.74008, -5.67406
"Med_NSS_2(1)", "00:00:00.151", 1, 32, 88.0365, 152.44, 1.06191, 50, 0.0212382, 171.511, 176.035, 0.156761, -1.05028
"Med_NSS_2(1)", "00:00:00.151", 1, 33, 88.1348, 151.61, 0.835563, 50, 0.0167113, 173.242, 175.367, 0.0983276, -0.829758
"Med_NSS_2(1)", "00:00:00.151", 1, 34, 88.4555, 141.352, 10.2638, 50, 0.205277, 178.209, 166.747, 0.320747, -10.2588
"Med_NSS_2(1)", "00:00:00.152", 1, 35, 90.5788, 138.68, 3.41281, 50, 0.0682561, 141.526, 165.64, 2.12332, -2.67184
"Med_NSS_2(1)", "00:00:00.152", 1, 36, 100.05, 125.939, 15.8756, 50, 0.317513, 143.375, 160.843, 9.47095, -12.7411
"Med_NSS_2(1)", "00:00:00.152", 1, 37, 108.772, 116.735, 12.6804, 50, 0.253608, 136.537, 159.557, 8.72266, -9.2037
"Med_NSS_2(1)", "00:00:00.152", 1, 38, 113.743, 111.669, 7.09725, 50, 0.141945, 135.543, 159.397, 4.9707, -5.06588
"Med_NSS_2(1)", "00:00:00.152", 1, 39, 123.158, 98.603, 16.1046, 50, 0.322092, 144.226, 157.767, 9.4146, -13.0661
